BBC Inside Out 인터뷰	2018년도 1월 22일 영국 BBC의 다큐멘터리 프로그램인 ‘BBC Inside Out’을 통해 신찬영 대표이사는 ADHD 등 뇌발달장애 치료를 위한 한계점과 치료제 개발 필요성에 대한 인터뷰를 진행하였으며, 현재까지의 수행된 연구결과 및 삼중억제제 기반 신개념 ADHD 치료제의 개발 가능성을 전 세계에 소개하였음
아시아경제 TV 클로즈업	기업현장 2018년 1월 15일 ‘아시아경제 TV 클로즈업 기업현장 956회’에서 신찬영 대표이사는 ADHD 치료제 개발 사업에 대한 홍보영상을 촬영하여 아시아경제 TV 채널을 통해 전국적으로 송출하였음. ADHD 치료제 개발 전문 의약품 개발 기업으로 인지도 향상과 기업이미지 제고 효과를 창출하였으며 대중 매체를 통한 기업 홍보 및 마케팅 성공적인 전략을 수립하였음. 추가적인 연구결과 및 전임상시험 진입을 통해 ADHD 의약품 전문 개발 바이오벤처로써의 발돋움 할 수 있도록 가치 제고 및 기업홍보 마케팅에 지속적으로 노력할 예정임
스포츠서울 LIFE특집지에 인터뷰 및 수상	2018년 2월 9일 자 스포츠서울A&B가 발행하는 ‘스포츠서울 LIFE특집지면’에 신찬영대표이사는 ADHD 치료제 개발 홍보 및 기획 광고를 게재함으로써 당사의 인지도 및 기업이미지 제고 향상을 꾀함. 또한, 신찬영 대표이사는 2018 혁신한국인 & POWER KOREA 바이오의학/연구 부문 대상을 선정되었으며, 이에 상패를 수상 받음
바이오오픈마켓 참여	Bio Europe (2018.03.12-14), Bio Asia (2018.3.19-20) 해외마켓시장 참석하여 일본의 J 제약사, 미국의 S사(웹베이스)와 컨택하여 임상시험고도화, 기술협력 및 비임상CRO업무등에 대해 의논, 국내 K제약사, 독일 N사와 전임상시험에 대해 논의한 바 있음
